GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,default,HelloTest,3,5,0,0,1,2,1,1,1,1
JaCoCo Ant Example,default,Hello,3,19,1,1,1,6,1,1,0,1
